provider,document,version,section_heading,sentence_index,sentence_verbatim,modal_verbs_found
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,325,We will run exercises to ensure our readiness for incident scenarios.,will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,326,"17 In cases where this policy is unintentionally ambiguous, we will act in accordance with the Responsible Scaling Officer or CEO’s judgment, and aim to clarify the ambiguity in the next policy update.",aim;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,327,16 Cases deemed to present minimal additional risk may be reported to the Board in quarterly summary reports.,may
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,328,"15 In addition to noncompliance processes, we will (1) establish pathways for Anthropic staff to raise any issues related to this policy, including the overall risk levels of our models and implementation challenges; and (2) regularly review our compliance with this policy’s procedural requirements.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,332,"Transparency: We will share summaries of Capability Reports and Safeguards Reports with Anthropic’s regular-clearance staff, redacting any highly-sensitive information.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,333,"We will share a minimally redacted version of these reports with a subset of staff, to help us surface relevant technical safety considerations.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,335,"Internal review: For each Capabilities or Safeguards Report, we will solicit feedback from internal teams with visibility into the relevant activities, with the aims of informing future refinements to our methodology and, in some circumstances, identifying weaknesses and informing the CEO and RSO’s decisions.",aims;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,337,Noncompliance: We will maintain a process through which Anthropic staff may anonymously notify the Responsible Scaling Officer of any potential instances of noncompliance with this policy.,may;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,338,"We will also establish a policy governing noncompliance reporting, which will (1) protect reporters from retaliation and (2) set forth a mechanism for escalating reports to one or more members of the Board of Directors in cases where the report relates to conduct of the Responsible Scaling Officer.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,339,"Further, we will track and investigate any reported or otherwise identified potential instances of noncompliance with this policy.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,340,"Where reports are substantiated, we will take appropriate and proportional corrective action and document the same.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,341,The Responsible Scaling Officer will regularly update the Board of Directors on substantial cases of noncompliance and overall trends.,will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,343,"Employee agreements: We will not impose contractual non-disparagement obligations on employees, candidates, or former employees in a way that could impede or discourage them from publicly raising safety concerns about Anthropic.",could;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,344,"If we offer agreements with a non-disparagement clause, that clause will not preclude raising safety concerns, nor will it preclude disclosure of the existence of that clause.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Internal Governance,346,"Policy changes: Changes to this policy will be proposed by the CEO and the Responsible Scaling Officer and approved by the Board of Directors, in consultation with the Long-Term Benefit Trust.18 The current version of the RSP is accessible at www.anthropic.com/rsp. We will update the public version of the RSP before any changes take effect and record any differences from the prior draft in a change log.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,347,"To advance the public dialogue on the regulation of frontier AI model risks and to enable examination of our actions, we commit to the following:",commit
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,349,Public disclosures: We will publicly release key information related to the evaluation and deployment of our models (not including sensitive details).,will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,350,These include summaries of related Capability and Safeguards reports when we deploy a model19 as well as plans for current and future,plans
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,351,"19 We currently expect that if we do not deploy the model publicly and instead proceed with training or limited deployments, we will likely instead share evaluation details with a relevant U.S. Government entity.",expect;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,354,"If we take this measure, however, we will also acknowledge the overall level of risk posed by AI systems (including ours), and will invest significantly in making a case to the U.S. government for taking regulatory action to mitigate such risk to acceptable levels.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,356,comprehensive capability assessments and deployment and security safeguards.20 We will also periodically release information on internal reports of potential instances of non-compliance and other implementation challenges we encounter.,will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,363,"Procedural compliance review: On approximately an annual basis, we will commission a third-party review that assesses whether we adhered to this policy’s main procedural commitments (we expect to iterate on the exact list since this has not been done before for RSPs).",commitments;expect;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Transparency and External Input,368,"Where possible, we will include descriptions of the empirical evaluation results we believe would indicate that a model is no longer safe to store under the ASL-2 Standard.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Appendix C: Detailed Capability Thresholds,450,"22 This comparison is hard to make in practice; this note is to clarify the meaning of the conceptual threshold and the fact that this policy aims to measure risk relative to the world in 2023, so that we can understand how much risk the current generations of frontier models are creating.",aims
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,Appendix C: Detailed Capability Thresholds,452,"We treat these lists as sensitive, but we plan to share them with organizations such as AI Safety Institutes and the Frontier Model Forum, and keep these lists updated.",plan
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",455,RSP-2024: This update introduces a more flexible and nuanced approach to assessing and managing AI risks while maintaining our commitment not to train or deploy models unless we have implemented adequate safeguards.,commitment
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",464,"Rather than triggering higher safety standards automatically, reaching this checkpoint will prompt additional evaluation of the model’s capabilities and accelerate our preparation of stronger safeguards.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",465,"We previously considered these capabilities as a trigger for increased safeguards, motivated by an attempt to establish some threshold while we developed a better sense of potential threats.",considered
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",466,We now believe that these capabilities - at the levels we initially considered - would not necessitate the ASL-3 standard.,considered
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",469,"Such capabilities could lead to rapid, unpredictable advances in AI, potentially outpacing our ability to evaluate and address emerging risks, and may also serve as an early warning sign for the ability to automate R&D in other domains.",could;may
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",494,"For internal use, safety testing and deployments to sufficiently trusted users, we will instead require a combination of access controls and monitoring.",will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",497,We expect that aggregating all the available evidence about model capabilities will provide decision makers with a more complete picture of the overall level of risk and improve our ability to solicit feedback on our work.,expect;will
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,"October 15, 2024",499,"commitments.” These include expanding the duties of the Responsible Scaling Officer; adding internal critique and external expert input on capability and safeguard assessments; new procedures related to internal governance; and maintaining a public page for overviews of past Capability and Safeguard Reports, RSP-related updates, and future plans.",commitments;plans
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,1,"In September 2023, we released our Responsible Scaling Policy (RSP), a public commitment not to train or deploy models capable of causing catastrophic harm unless we have implemented safety and security measures that will keep risks below acceptable levels.",commitment;will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,8,"At present, all of our models must meet the ASL-2 Deployment and Security Standards.",must
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,17,"For models requiring comprehensive testing, we will assess whether the model is unlikely to reach any relevant Capability Thresholds absent surprising advances in widely accessible post-training enhancements.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,18,"If, after the comprehensive testing, we determine that the model is sufficiently below the relevant Capability Thresholds, then we will continue to apply the ASL-2 Standard.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,19,"If, however, we are unable to make the required showing, we will act as though the model has surpassed the Capability Threshold.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,20,This means that we will both upgrade to the ASL-3 Required Safeguards and conduct a follow-up capability assessment to confirm that the ASL-4 Standard is not necessary.,will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,22,"To determine whether the measures we have adopted satisfy the ASL-3 Required Safeguards, we will conduct a safeguards assessment.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,23,"For the ASL-3 Deployment Standard, we will evaluate whether it is robust to persistent attempts to misuse the capability in question.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,24,"For the ASL-3 Security Standard, we will evaluate whether it is highly protected against non-state attackers attempting to steal model weights.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,25,"If we determine that we have met the ASL-3 Required Safeguards, then we will proceed to deployment, provided we have also conducted a follow-up capability assessment.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,27,"In parallel with upgrading a model to the ASL-3 Required Safeguards, we will conduct a follow-up capability assessment to confirm that further safeguards are not necessary.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,29,"We may deploy or store a model if either of the following criteria are met: (1) the model’s capabilities are sufficiently far away from the existing Capability Thresholds, making the current ASL-2 Standard appropriate; or (2) the model’s capabilities have surpassed the existing Capabilities Threshold, but we have implemented the ASL-3 Required Safeguards and conducted the follow-up capability assessment.",may
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,32,"unable to implement them immediately, we will act promptly to reduce interim risk to acceptable levels until the ASL-3 Required Safeguards are in place.",will
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,34,"To facilitate the effective implementation of this policy across the company, we commit to several internal governance measures, including maintaining the position of Responsible Scaling Officer, establishing a process through which Anthropic staff may anonymously notify the Responsible Scaling Officer of any potential instances of noncompliance, and developing internal safety procedures for incident scenarios.",commit;may
Anthropic,Responsible Scaling Policy,v2.1,Executive Summary,35,"To advance the public dialogue on the regulation of frontier AI model risks and to enable examination of our actions, we will also publicly release key materials related to the evaluation and deployment of our models with sensitive information removed and solicit input from external experts in relevant domains.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,78,"As frontier AI models advance, we believe they will bring about transformative benefits for our society and economy.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,79,"AI could accelerate scientific discoveries, revolutionize healthcare, enhance our education system, and create entirely new domains for human creativity and innovation.",could
Anthropic,Responsible Scaling Policy,v2.1,Introduction,81,"In September 2023, we released our Responsible Scaling Policy (RSP), a first-of-its-kind public commitment not to train or deploy models capable of causing catastrophic harm unless we have implemented safety and security measures that will keep risks below acceptable levels.",commitment;will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,82,Our RSP serves several purposes: it is an internal operating procedure for investigating and mitigating these risks and helps inform the public of our plans and commitments.,commitments;plans
Anthropic,Responsible Scaling Policy,v2.1,Introduction,90,"Since the frontier of AI is rapidly evolving, we cannot anticipate what safety and security measures will be appropriate for models far beyond the current frontier.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,91,We will thus regularly measure the capability of our models and adjust our safeguards accordingly.,will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,92,"Further, we will continue to research potential risks and next-generation mitigation techniques.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,93,"And, at the highest level of generality, we will look for opportunities to improve and strengthen our overarching risk management framework.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,95,"To demonstrate that it is possible to balance innovation with safety, we must put forward our proof of concept: a pragmatic, flexible, and scalable approach to risk governance.",must
Anthropic,Responsible Scaling Policy,v2.1,Introduction,96,"By sharing our approach externally, we aim to set a new industry standard that encourages widespread adoption of similar frameworks.",aim
Anthropic,Responsible Scaling Policy,v2.1,Introduction,97,"In the long term, we hope that our policy may offer relevant insights for regulation.",may
Anthropic,Responsible Scaling Policy,v2.1,Introduction,98,"In the meantime, we will continue to share our findings with policymakers.",will
Anthropic,Responsible Scaling Policy,v2.1,Introduction,99,"Although this policy focuses on catastrophic risks, they are not the only risks that we consider important.",consider
Anthropic,Responsible Scaling Policy,v2.1,Introduction,103,"At Anthropic, we are committed to developing AI responsibly and transparently.",committed
Anthropic,Responsible Scaling Policy,v2.1,Introduction,108,This policy also helps satisfy our Voluntary White House Commitments (2023) and Frontier AI Safety Commitments (2024).,commitments
Anthropic,Responsible Scaling Policy,v2.1,1. Background,121,"We expect to continue refining our framework in response to future risks (for example, the risk that an AI system attempts to subvert the goals of its operators).",expect
Anthropic,Responsible Scaling Policy,v2.1,1. Background,122,"At present, all of our models must meet the ASL-2 Deployment and Security Standards.",must
Anthropic,Responsible Scaling Policy,v2.1,1. Background,126,"Although the ASL-2 Standard is appropriate for all of our current models, that may not hold true in the future as our models become more capable.",may
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,151,"In addition, we will develop an affirmative case that (1) identifies the most immediate and relevant risks from models pursuing misaligned goals and (2) explains how we have mitigated these risks to acceptable levels.",will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,152,"The affirmative case will describe, as relevant, evidence on model capabilities; evidence on AI alignment; mitigations (such as monitoring and other safeguards); and our overall reasoning.",will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,154,"At minimum, the ASL-4 Security Standard (which would protect against model-weight theft by state-level adversaries) is required, although we expect a higher security standard may be required.",expect;may
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,155,"As with AI R&D-4, we also expect an affirmative case will be required.",expect;will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,157,"As our understanding evolves, we may identify additional thresholds.",may
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,158,"For each threshold, we will identify and describe the corresponding Required Safeguards as soon as feasible, and at minimum before training or deploying any model that reaches that threshold.",will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,161,"We will test for this checkpoint and, by the time we reach it, we will (1) aim to have met (or be close to meeting) the ASL-3 Security Standard as an intermediate goal; (2)",aim;will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,164,We will also maintain a list of capabilities that we think require significant investigation and may require stronger safeguards than ASL-2 provides.,may;will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,168,"Instead of prespecifying particular thresholds and safeguards today, we will conduct ongoing assessments of the risks with the goal of determining in a future iteration of this policy what the Capability Thresholds and Required Safeguards would be.",will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,174,We will document any salient results alongside our Capability Reports (see Section 3).1,will
Anthropic,Responsible Scaling Policy,v2.1,2. Capability Thresholds and Required Safeguards,176,"As the field evolves and our understanding deepens, we remain committed to refining our approach.2",committed
Anthropic,Responsible Scaling Policy,v2.1,Preliminary Assessment,177,We will routinely test models to determine whether their capabilities fall sufficiently far below the Capability Thresholds such that we are confident that the ASL-2 Standard remains appropriate.,will
Anthropic,Responsible Scaling Policy,v2.1,Preliminary Assessment,182,"While we are actively consulting experts, we believe this capability is not yet sufficiently understood to include in our current commitments.",commitments
Anthropic,Responsible Scaling Policy,v2.1,Preliminary Assessment,189,"In addition, the Responsible Scaling Officer may in their discretion determine that a comprehensive assessment is warranted.",may
Anthropic,Responsible Scaling Policy,v2.1,Comprehensive Assessment,191,"For models requiring comprehensive testing, we will assess whether the model is unlikely to reach any relevant Capability Thresholds absent surprising advances in widely accessible post-training enhancements.6 To make the required showing, we will need to satisfy the following criteria:",will
Anthropic,Responsible Scaling Policy,v2.1,Comprehensive Assessment,202,"At minimum, we will perform basic finetuning for instruction following, tool use, minimizing refusal rates.",will
Anthropic,Responsible Scaling Policy,v2.1,Comprehensive Assessment,210,"We plan to track Effective Compute during pretraining on a weighted aggregation of datasets relevant to our Capability Thresholds (e.g., coding and science).",plan
Anthropic,Responsible Scaling Policy,v2.1,Comprehensive Assessment,211,"This is, however, an open research question, and we will explore different possible methods.",will
Anthropic,Responsible Scaling Policy,v2.1,Comprehensive Assessment,212,"More generally, the Effective Compute concept is fairly new, and we may replace it with another metric in a similar spirit in the future.",may
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,217,"If, after the comprehensive testing, we determine that the model is sufficiently below the relevant Capability Thresholds, then we will continue to apply the ASL-2 Standard.8 The process for making such a determination is as follows:",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,219,"First, we will compile a Capability Report that documents the findings from the comprehensive assessment, makes an affirmative case for why the Capability Threshold is sufficiently far away, and advances recommendations on deployment decisions.",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,221,"The report will be escalated to the CEO and the Responsible Scaling Officer, who will (1) make the ultimate determination as to whether we have sufficiently established that we are unlikely to reach the Capability Threshold and (2) decide any deployment-related issues.",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,223,"In general, as noted in Sections 7.1.4 and 7.2.2, we will solicit both internal and external expert feedback on the report as well as the CEO and RSO’s conclusions to inform future refinements to our methodology.",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,224,"For high-stakes issues, however, the CEO and RSO will likely solicit internal and external feedback on the report prior to making any decisions.",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,226,"If the CEO and RSO decide to proceed with deployment, they will share their decision–as well as the underlying Capability Report, internal feedback, and any external feedback–with the Board of Directors and the Long-Term Benefit Trust before moving forward.",will
Anthropic,Responsible Scaling Policy,v2.1,Capability Decision,227,"If, however, we determine we are unable to make the required showing, we will act as though the model has surpassed the Capability Threshold.9 This means that we will (1) upgrade to the ASL-3 Required Safeguards (see Section 4) and (2) conduct follow-up a capability assessment to confirm that the ASL-4 Standard is not necessary (see Section 5).",will
Anthropic,Responsible Scaling Policy,v2.1,4. Safeguards Assessment,228,"To determine whether the measures we have adopted satisfy the ASL-3 Required Safeguards, we will conduct a safeguards assessment.",will
Anthropic,Responsible Scaling Policy,v2.1,4. Safeguards Assessment,230,We will document our implementation of the Required Safeguards in a Safeguards Report.,will
Anthropic,Responsible Scaling Policy,v2.1,4. Safeguards Assessment,231,"9 There may be a substantial period during which models are not demonstrably close to the Capability Threshold, but we nevertheless are unable to rule out the risk to our satisfaction, and thus choose to implement the Required Safeguards.",may
Anthropic,Responsible Scaling Policy,v2.1,4. Safeguards Assessment,232,"8 In the case where the capability assessment shows a model is just barely below the threshold, the Responsible Scaling Officer may choose to limit further training to some amount less than the default 4x Effective Compute increase until ASL-3 measures are in place, in order to limit risk.",may
Anthropic,Responsible Scaling Policy,v2.1,4. Safeguards Assessment,234,"As these are open research questions, we will aim to improve these forecasts over time so that they can be relied upon for risk judgments.",aim;will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Deployment Standard,236,"When a model must meet the ASL-3 Deployment Standard, we will evaluate whether the measures we have implemented make us robust to persistent attempts to misuse the capability in question.",must;will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Deployment Standard,237,"To make the required showing, we will need to satisfy the following criteria:",will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Security Standard,258,"When a model must meet the ASL-3 Security Standard, we will evaluate whether the measures we have implemented make us highly protected against most attackers’ attempts at stealing model weights.",must;will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Security Standard,260,"Setting a principled pass-fail threshold will depend on other factors, such as the quality of our monitoring and ability to respond to jailbreaks rapidly.",will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Security Standard,265,"To make the required showing, we will need to satisfy the following criteria:",will
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Security Standard,268,"As part of this requirement, we should specify our plans for revising the resulting threat model over time.",plans
Anthropic,Responsible Scaling Policy,v2.1,ASL-3 Security Standard,287,We are committed to further enhancing these protections as a part of our ASL-4 preparations.,committed
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,294,"If, after the evaluations above, we determine that we have met the ASL-3 Required Safeguards, then we may proceed with deploying and training models above the Capability Threshold, provided we have also conducted a follow-up capability assessment.",may
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,297,"First, we will compile a Safeguards Report for each Required Safeguard that documents our implementation of the measures above, makes an affirmative case for why we have satisfied them, and advances recommendations on deployment decisions.",will
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,299,"The Safeguards Report(s) will be escalated to the CEO and the Responsible Scaling Officer, who will (1) make the ultimate determination as to whether we have satisfied the Required Safeguards and (2) decide any deployment-related issues.",will
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,301,"In general, as noted in Sections 7.1.4 and 7.2.2, we will solicit both internal and external expert feedback on the report as well as the CEO and RSO’s conclusions to inform future refinements to our methodology.",will
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,302,"For high-stakes issues, however, the CEO and RSO will likely solicit internal and external feedback on the report prior to making any decisions.",will
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,304,"If the CEO and RSO decide to proceed with deployment and training, they will share their decision–as well as the underlying Safeguards Report, internal feedback, and any external feedback–with the Board of Directors and the Long-Term Benefit Trust before moving forward.",will
Anthropic,Responsible Scaling Policy,v2.1,Safeguards Decision,307,"If, however, we are unable to make the showing required above, we will restrict model deployment and further scaling.",will
Anthropic,Responsible Scaling Policy,v2.1,5. Follow-Up Capability Assessment,308,"In parallel with upgrading a model to the Required Safeguards, we will (1) update this policy to include any additional Capability Thresholds for which the Required Safeguards would be insufficient; and (2) conduct a follow-up capability assessment to determine that the model’s capabilities fall sufficiently far away from those Capability Thresholds, following the procedures outlined in Section 3.",will
Anthropic,Responsible Scaling Policy,v2.1,Continue Deployment and Further Scaling,310,"To summarize the commitments and procedures outlined above, we may deploy or store a model if either of the following criteria are met: (1) the model’s capabilities are sufficiently far away from the existing Capability Thresholds, making the current ASL-2 Standard appropriate; or (2) the model’s capabilities have surpassed the existing Capabilities Threshold, but we have implemented the ASL-3 Required Safeguards and confirmed that the model is sufficiently far away from the next set of Capability Thresholds as to make the model ASL-3 Standard appropriate.",commitments;may
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,312,"In any scenario where we determine that a model requires ASL-3 Required Safeguards but we are unable to implement them immediately, we will act promptly to reduce interim risk to acceptable levels until the ASL-3 Required Safeguards are in place:",will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,313,● Interim measures: The CEO and Responsible Scaling Officer may approve the use of interim measures that provide the same level of assurance as the relevant ASL-3 Standard but are faster or simpler to implement.,may
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,315,"In either case, the CEO and Responsible Scaling Officer will share their plan with the Board of Directors and the Long-Term Benefit Trust.",plan;will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,316,"● Stronger restrictions: In the unlikely event that we cannot implement interim measures to adequately mitigate risk, we will impose stronger restrictions.",will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,317,"In the deployment context, we will de-deploy the model and replace it with a model that falls below the Capability Threshold.",will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,319,"In the security context, we will delete model weights.",will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,322,"If the pretraining model’s capabilities are comparable or greater, we will pause training until we have implemented the ASL-3 Security Standard and established it is sufficient for the model.",will
Anthropic,Responsible Scaling Policy,v2.1,Restrict Deployment and Further Scaling,325,"12 When choosing amongst options that satisfy the safety criteria, we will implement whichever interim safeguards minimize changes to customer experience.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,327,"To facilitate the effective implementation of this policy across the company, we commit to the following:",commit
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,329,"Responsible Scaling Officer: We will maintain the position of Responsible Scaling Officer, a designated member of staff who is responsible for reducing catastrophic risk, primarily by ensuring this policy is designed and implemented effectively.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,330,"The Responsible Scaling Officer’s duties will include (but are not limited to): (1) as needed, proposing updates to this policy to the Board of Directors; (2) approving relevant model training or deployment decisions based on capability and safeguard assessments; (3) reviewing major contracts (i.e., deployment partnerships) for consistency with this policy; (4) overseeing implementation of this policy, including the allocation of sufficient resources; (5) receiving and addressing reports of potential instances of noncompliance14; (6) promptly notifying the Board of Directors of any cases of noncompliance that pose material risk15; and (7) making judgment calls on policy interpretation16 and application.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,334,We will run exercises to ensure our readiness for incident scenarios.,will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,336,"Transparency: We will share summaries of Capability Reports and Safeguards Reports with Anthropic’s regular-clearance staff, redacting any highly-sensitive information.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,337,"We will share a minimally redacted version of these reports with a subset of staff, to help us surface relevant technical safety considerations.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,339,"Internal review: For each Capabilities or Safeguards Report, we will solicit feedback from internal teams with visibility into the relevant activities, with the aims of informing future refinements to our methodology and, in some circumstances, identifying weaknesses and informing the CEO and RSO’s decisions.",aims;will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,341,Noncompliance: We will maintain a process through which Anthropic staff may anonymously notify the Responsible Scaling Officer of any potential instances of noncompliance with this policy.,may;will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,342,"We will also establish a policy governing noncompliance reporting, which will (1) protect reporters from retaliation and (2) set forth a mechanism for escalating reports to one or more members of the Board of Directors in cases where the report relates to conduct of the Responsible Scaling Officer.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,343,"Further, we will track and investigate any reported or otherwise identified potential instances of noncompliance with this policy.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,344,"Where reports are substantiated, we will take appropriate and proportional corrective action and document the same.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,345,The Responsible Scaling Officer will regularly update the Board of Directors on substantial cases of noncompliance and overall trends.,will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,346,"16 In cases where this policy is unintentionally ambiguous, we will act in accordance with the Responsible Scaling Officer or CEO’s judgment, and aim to clarify the ambiguity in the next policy update.",aim;will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,347,15 Cases deemed to present minimal additional risk may be reported to the Board in quarterly summary reports.,may
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,348,"14 In addition to noncompliance processes, we will (1) establish pathways for Anthropic staff to raise any issues related to this policy, including the overall risk levels of our models and implementation challenges; and (2) regularly review our compliance with this policy’s procedural requirements.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,351,"Employee agreements: We will not impose contractual non-disparagement obligations on employees, candidates, or former employees in a way that could impede or discourage them from publicly raising safety concerns about Anthropic.",could;will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,352,"If we offer agreements with a non-disparagement clause, that clause will not preclude raising safety concerns, nor will it preclude disclosure of the existence of that clause.",will
Anthropic,Responsible Scaling Policy,v2.1,Internal Governance,354,"Policy changes: Changes to this policy will be proposed by the CEO and the Responsible Scaling Officer and approved by the Board of Directors, in consultation with the Long-Term Benefit Trust.17 The current version of the RSP is accessible at www.anthropic.com/rsp. We will update the public version of the RSP before any changes take effect and record any differences from the prior draft in a change log.",will
Anthropic,Responsible Scaling Policy,v2.1,Transparency and External Input,355,"To advance the public dialogue on the regulation of frontier AI model risks and to enable examination of our actions, we commit to the following:",commit
Anthropic,Responsible Scaling Policy,v2.1,Transparency and External Input,357,Public disclosures: We will publicly release key information related to the evaluation and deployment of our models (not including sensitive details).,will
